StepSizeSmall,StepSizeLarge,StepSizeRange,TimePerFrame (ms),FramesPerSecond,ImageFile
0.010000,0.250000,0.050000,20.690000,48.332528,"0000.png"
0.010000,0.250000,0.100000,23.430000,42.680324,"0001.png"
0.010000,0.250000,0.150000,33.240000,30.084236,"0002.png"
0.010000,0.250000,0.200000,35.990000,27.785496,"0003.png"
0.010000,0.250000,0.250000,42.570000,23.490721,"0004.png"
0.010000,0.500000,0.050000,14.170000,70.571630,"0005.png"
0.010000,0.500000,0.100000,22.520000,44.404973,"0006.png"
0.010000,0.500000,0.150000,23.130000,43.233895,"0007.png"
0.010000,0.500000,0.200000,24.930000,40.112314,"0008.png"
0.010000,0.500000,0.250000,30.310000,32.992412,"0009.png"
0.010000,0.750000,0.050000,15.080000,66.312997,"0010.png"
0.010000,0.750000,0.100000,22.520000,44.404973,"0011.png"
0.010000,0.750000,0.150000,22.290000,44.863167,"0012.png"
0.010000,0.750000,0.200000,24.020000,41.631973,"0013.png"
0.010000,0.750000,0.250000,32.330000,30.931024,"0014.png"
0.010000,1.000000,0.050000,11.580000,86.355786,"0015.png"
0.010000,1.000000,0.100000,19.470000,51.361068,"0016.png"
0.010000,1.000000,0.150000,26.590000,37.608123,"0017.png"
0.010000,1.000000,0.200000,32.640000,30.637255,"0018.png"
0.010000,1.000000,0.250000,35.800000,27.932961,"0019.png"
0.010000,1.250000,0.050000,14.020000,71.326676,"0020.png"
0.010000,1.250000,0.100000,22.050000,45.351474,"0021.png"
0.010000,1.250000,0.150000,26.760000,37.369208,"0022.png"
0.010000,1.250000,0.200000,28.360000,35.260931,"0023.png"
0.010000,1.250000,0.250000,34.880000,28.669725,"0024.png"
0.010000,1.500000,0.050000,17.310000,57.770075,"0025.png"
0.010000,1.500000,0.100000,24.180000,41.356493,"0026.png"
0.010000,1.500000,0.150000,30.710000,32.562683,"0027.png"
0.010000,1.500000,0.200000,34.030000,29.385836,"0028.png"
0.010000,1.500000,0.250000,36.370000,27.495188,"0029.png"
0.010000,1.750000,0.050000,17.240000,58.004640,"0030.png"
0.010000,1.750000,0.100000,21.500000,46.511628,"0031.png"
0.010000,1.750000,0.150000,24.050000,41.580042,"0032.png"
0.010000,1.750000,0.200000,30.060000,33.266800,"0033.png"
0.010000,1.750000,0.250000,31.400000,31.847134,"0034.png"
0.010000,2.000000,0.050000,12.200000,81.967213,"0035.png"
0.010000,2.000000,0.100000,18.370000,54.436581,"0036.png"
0.010000,2.000000,0.150000,26.420000,37.850114,"0037.png"
0.010000,2.000000,0.200000,29.550000,33.840948,"0038.png"
0.010000,2.000000,0.250000,30.620000,32.658393,"0039.png"
0.060000,0.250000,0.050000,9.880000,101.214575,"0040.png"
0.060000,0.250000,0.100000,11.510000,86.880973,"0041.png"
0.060000,0.250000,0.150000,13.570000,73.691968,"0042.png"
0.060000,0.250000,0.200000,14.290000,69.979006,"0043.png"
0.060000,0.250000,0.250000,14.670000,68.166326,"0044.png"
0.060000,0.500000,0.050000,6.880000,145.348837,"0045.png"
0.060000,0.500000,0.100000,7.930000,126.103405,"0046.png"
0.060000,0.500000,0.150000,10.730000,93.196645,"0047.png"
0.060000,0.500000,0.200000,9.170000,109.051254,"0048.png"
0.060000,0.500000,0.250000,12.350000,80.971660,"0049.png"
0.060000,0.750000,0.050000,6.900000,144.927536,"0050.png"
0.060000,0.750000,0.100000,9.390000,106.496273,"0051.png"
0.060000,0.750000,0.150000,13.350000,74.906367,"0052.png"
0.060000,0.750000,0.200000,10.100000,99.009901,"0053.png"
0.060000,0.750000,0.250000,11.270000,88.731145,"0054.png"
0.060000,1.000000,0.050000,5.080000,196.850394,"0055.png"
0.060000,1.000000,0.100000,7.770000,128.700129,"0056.png"
0.060000,1.000000,0.150000,8.030000,124.533001,"0057.png"
0.060000,1.000000,0.200000,8.330000,120.048019,"0058.png"
0.060000,1.000000,0.250000,8.880000,112.612613,"0059.png"
0.060000,1.250000,0.050000,4.690000,213.219616,"0060.png"
0.060000,1.250000,0.100000,6.060000,165.016502,"0061.png"
0.060000,1.250000,0.150000,7.850000,127.388535,"0062.png"
0.060000,1.250000,0.200000,9.270000,107.874865,"0063.png"
0.060000,1.250000,0.250000,8.520000,117.370892,"0064.png"
0.060000,1.500000,0.050000,4.580000,218.340611,"0065.png"
0.060000,1.500000,0.100000,5.460000,183.150183,"0066.png"
0.060000,1.500000,0.150000,6.190000,161.550889,"0067.png"
0.060000,1.500000,0.200000,7.520000,132.978723,"0068.png"
0.060000,1.500000,0.250000,8.290000,120.627262,"0069.png"
0.060000,1.750000,0.050000,5.140000,194.552529,"0070.png"
0.060000,1.750000,0.100000,5.840000,171.232877,"0071.png"
0.060000,1.750000,0.150000,6.120000,163.398693,"0072.png"
0.060000,1.750000,0.200000,9.140000,109.409190,"0073.png"
0.060000,1.750000,0.250000,7.860000,127.226463,"0074.png"
0.060000,2.000000,0.050000,4.320000,231.481481,"0075.png"
0.060000,2.000000,0.100000,6.080000,164.473684,"0076.png"
0.060000,2.000000,0.150000,6.070000,164.744646,"0077.png"
0.060000,2.000000,0.200000,8.960000,111.607143,"0078.png"
0.060000,2.000000,0.250000,9.040000,110.619469,"0079.png"
0.110000,0.250000,0.050000,10.100000,99.009901,"0080.png"
0.110000,0.250000,0.100000,11.060000,90.415913,"0081.png"
0.110000,0.250000,0.150000,11.850000,84.388186,"0082.png"
0.110000,0.250000,0.200000,11.640000,85.910653,"0083.png"
0.110000,0.250000,0.250000,10.480000,95.419847,"0084.png"
0.110000,0.500000,0.050000,6.060000,165.016502,"0085.png"
0.110000,0.500000,0.100000,6.340000,157.728707,"0086.png"
0.110000,0.500000,0.150000,7.690000,130.039012,"0087.png"
0.110000,0.500000,0.200000,8.490000,117.785630,"0088.png"
0.110000,0.500000,0.250000,10.290000,97.181730,"0089.png"
0.110000,0.750000,0.050000,6.890000,145.137881,"0090.png"
0.110000,0.750000,0.100000,6.410000,156.006240,"0091.png"
0.110000,0.750000,0.150000,7.590000,131.752306,"0092.png"
0.110000,0.750000,0.200000,7.150000,139.860140,"0093.png"
0.110000,0.750000,0.250000,8.840000,113.122172,"0094.png"
0.110000,1.000000,0.050000,4.750000,210.526316,"0095.png"
0.110000,1.000000,0.100000,5.580000,179.211470,"0096.png"
0.110000,1.000000,0.150000,6.900000,144.927536,"0097.png"
0.110000,1.000000,0.200000,6.160000,162.337662,"0098.png"
0.110000,1.000000,0.250000,7.180000,139.275766,"0099.png"
0.110000,1.250000,0.050000,4.620000,216.450216,"0100.png"
0.110000,1.250000,0.100000,4.910000,203.665988,"0101.png"
0.110000,1.250000,0.150000,5.040000,198.412698,"0102.png"
0.110000,1.250000,0.200000,5.540000,180.505415,"0103.png"
0.110000,1.250000,0.250000,6.330000,157.977883,"0104.png"
0.110000,1.500000,0.050000,3.870000,258.397933,"0105.png"
0.110000,1.500000,0.100000,4.440000,225.225225,"0106.png"
0.110000,1.500000,0.150000,5.860000,170.648464,"0107.png"
0.110000,1.500000,0.200000,6.160000,162.337662,"0108.png"
0.110000,1.500000,0.250000,6.240000,160.256410,"0109.png"
0.110000,1.750000,0.050000,4.000000,250.000000,"0110.png"
0.110000,1.750000,0.100000,4.530000,220.750552,"0111.png"
0.110000,1.750000,0.150000,5.120000,195.312500,"0112.png"
0.110000,1.750000,0.200000,5.480000,182.481752,"0113.png"
0.110000,1.750000,0.250000,6.140000,162.866450,"0114.png"
0.110000,2.000000,0.050000,3.660000,273.224044,"0115.png"
0.110000,2.000000,0.100000,4.310000,232.018561,"0116.png"
0.110000,2.000000,0.150000,5.050000,198.019802,"0117.png"
0.110000,2.000000,0.200000,5.570000,179.533214,"0118.png"
0.110000,2.000000,0.250000,5.960000,167.785235,"0119.png"
0.160000,0.250000,0.050000,10.490000,95.328885,"0120.png"
0.160000,0.250000,0.100000,11.420000,87.565674,"0121.png"
0.160000,0.250000,0.150000,9.590000,104.275287,"0122.png"
0.160000,0.250000,0.200000,10.350000,96.618357,"0123.png"
0.160000,0.250000,0.250000,10.020000,99.800399,"0124.png"
0.160000,0.500000,0.050000,6.330000,157.977883,"0125.png"
0.160000,0.500000,0.100000,7.240000,138.121547,"0126.png"
0.160000,0.500000,0.150000,6.860000,145.772595,"0127.png"
0.160000,0.500000,0.200000,7.680000,130.208333,"0128.png"
0.160000,0.500000,0.250000,8.890000,112.485939,"0129.png"
0.160000,0.750000,0.050000,5.530000,180.831826,"0130.png"
0.160000,0.750000,0.100000,6.380000,156.739812,"0131.png"
0.160000,0.750000,0.150000,6.530000,153.139357,"0132.png"
0.160000,0.750000,0.200000,6.350000,157.480315,"0133.png"
0.160000,0.750000,0.250000,8.200000,121.951220,"0134.png"
0.160000,1.000000,0.050000,4.800000,208.333333,"0135.png"
0.160000,1.000000,0.100000,5.430000,184.162063,"0136.png"
0.160000,1.000000,0.150000,6.040000,165.562914,"0137.png"
0.160000,1.000000,0.200000,6.160000,162.337662,"0138.png"
0.160000,1.000000,0.250000,7.120000,140.449438,"0139.png"
0.160000,1.250000,0.050000,6.760000,147.928994,"0140.png"
0.160000,1.250000,0.100000,7.560000,132.275132,"0141.png"
0.160000,1.250000,0.150000,5.360000,186.567164,"0142.png"
0.160000,1.250000,0.200000,8.820000,113.378685,"0143.png"
0.160000,1.250000,0.250000,11.580000,86.355786,"0144.png"
0.160000,1.500000,0.050000,4.750000,210.526316,"0145.png"
0.160000,1.500000,0.100000,4.530000,220.750552,"0146.png"
0.160000,1.500000,0.150000,5.230000,191.204589,"0147.png"
0.160000,1.500000,0.200000,5.730000,174.520070,"0148.png"
0.160000,1.500000,0.250000,6.880000,145.348837,"0149.png"
0.160000,1.750000,0.050000,4.070000,245.700246,"0150.png"
0.160000,1.750000,0.100000,4.910000,203.665988,"0151.png"
0.160000,1.750000,0.150000,5.360000,186.567164,"0152.png"
0.160000,1.750000,0.200000,5.560000,179.856115,"0153.png"
0.160000,1.750000,0.250000,6.250000,160.000000,"0154.png"
0.160000,2.000000,0.050000,4.150000,240.963855,"0155.png"
0.160000,2.000000,0.100000,4.610000,216.919740,"0156.png"
0.160000,2.000000,0.150000,5.240000,190.839695,"0157.png"
0.160000,2.000000,0.200000,6.320000,158.227848,"0158.png"
0.160000,2.000000,0.250000,6.220000,160.771704,"0159.png"
0.210000,0.250000,0.050000,10.180000,98.231827,"0160.png"
0.210000,0.250000,0.100000,9.470000,105.596621,"0161.png"
0.210000,0.250000,0.150000,9.950000,100.502513,"0162.png"
0.210000,0.250000,0.200000,9.920000,100.806452,"0163.png"
0.210000,0.250000,0.250000,9.550000,104.712042,"0164.png"
0.210000,0.500000,0.050000,6.050000,165.289256,"0165.png"
0.210000,0.500000,0.100000,6.450000,155.038760,"0166.png"
0.210000,0.500000,0.150000,6.710000,149.031297,"0167.png"
0.210000,0.500000,0.200000,7.180000,139.275766,"0168.png"
0.210000,0.500000,0.250000,6.730000,148.588410,"0169.png"
0.210000,0.750000,0.050000,4.860000,205.761317,"0170.png"
0.210000,0.750000,0.100000,5.120000,195.312500,"0171.png"
0.210000,0.750000,0.150000,5.370000,186.219739,"0172.png"
0.210000,0.750000,0.200000,6.150000,162.601626,"0173.png"
0.210000,0.750000,0.250000,6.060000,165.016502,"0174.png"
0.210000,1.000000,0.050000,4.960000,201.612903,"0175.png"
0.210000,1.000000,0.100000,4.720000,211.864407,"0176.png"
0.210000,1.000000,0.150000,4.920000,203.252033,"0177.png"
0.210000,1.000000,0.200000,5.320000,187.969925,"0178.png"
0.210000,1.000000,0.250000,5.750000,173.913043,"0179.png"
0.210000,1.250000,0.050000,4.080000,245.098039,"0180.png"
0.210000,1.250000,0.100000,4.290000,233.100233,"0181.png"
0.210000,1.250000,0.150000,4.390000,227.790433,"0182.png"
0.210000,1.250000,0.200000,4.870000,205.338809,"0183.png"
0.210000,1.250000,0.250000,5.870000,170.357751,"0184.png"
0.210000,1.500000,0.050000,3.620000,276.243094,"0185.png"
0.210000,1.500000,0.100000,4.060000,246.305419,"0186.png"
0.210000,1.500000,0.150000,4.380000,228.310502,"0187.png"
0.210000,1.500000,0.200000,4.770000,209.643606,"0188.png"
0.210000,1.500000,0.250000,5.390000,185.528757,"0189.png"
0.210000,1.750000,0.050000,3.970000,251.889169,"0190.png"
0.210000,1.750000,0.100000,3.980000,251.256281,"0191.png"
0.210000,1.750000,0.150000,4.300000,232.558140,"0192.png"
0.210000,1.750000,0.200000,4.730000,211.416490,"0193.png"
0.210000,1.750000,0.250000,5.400000,185.185185,"0194.png"
0.210000,2.000000,0.050000,3.700000,270.270270,"0195.png"
0.210000,2.000000,0.100000,4.020000,248.756219,"0196.png"
0.210000,2.000000,0.150000,4.830000,207.039337,"0197.png"
0.210000,2.000000,0.200000,4.970000,201.207243,"0198.png"
0.210000,2.000000,0.250000,5.660000,176.678445,"0199.png"
